date,original,interannual,interdecadal
1929-07-01,-0.02,-0.35007844051995224,0.33007634306281136
1929-08-01,0.1,-0.23075231420298264,0.3307499315615435
1929-09-01,0.3,-0.030806808276070352,0.33080414098787175
1929-10-01,0.4,0.06976893547262203,0.3302281143871372
1929-11-01,0.18,-0.14901563224807068,0.3290124023432514
1929-12-01,0.63,0.3028474690804178,0.32714902566156767
1930-01-01,0.35,0.025364690545416013,0.32463153460517336
1930-02-01,0.39,0.06854089841535349,0.3214550642775854
1930-03-01,0.29,-0.027620676997872504,0.31761638575516465
1930-04-01,0.41,0.09688151215648891,0.3131139525862503
1930-05-01,-0.04,-0.34795271023750735,0.3079479422909978
1930-06-01,0.27,-0.03212528042315388,0.30212029251609235
1930-07-01,0.64,0.34436007473573915,0.2956347315217893
1930-08-01,0.68,0.39149781322549,0.28849680270494815
1930-09-01,1.28,0.9992805595844005,0.2807138828906976
1930-10-01,1.14,0.8676990930716957,0.27229519415688547
1930-11-01,1.79,1.5267423425055857,0.2632518089892781
1930-12-01,1.41,1.1563973879366976,0.2535966486013126
1931-01-01,1.49,1.2466494692855112,0.2433444742897649
1931-02-01,1.33,1.0974820020335434,0.23251187173664858
1931-03-01,1.18,0.9588766000179716,0.22111722820765717
1931-04-01,0.96,0.7508131053387449,0.20918070263814287
1931-05-01,0.63,0.4332696253462186,0.19672418863861826
1931-06-01,0.48,0.29622257663643115,0.18377127049270447
1931-07-01,0.4,0.22964673594062157,0.1703471722609622
1931-08-01,0.15,-0.006484702244165752,0.15647870014378848
1931-09-01,-0.42,-0.5622000614751752,0.14219417829520406
1931-10-01,-0.22,-0.34752911286375865,0.1275233783165888
1931-11-01,-0.27,-0.3825029985194788,0.11249744269496377
1931-12-01,-0.28,-0.3771541492366727,0.09714880248401411
1932-01-01,-0.42,-0.5015161967530433,0.08151108955747423
1932-02-01,-0.19,-0.2556238809389408,0.06561904379355775
1932-03-01,0.25,0.2004870476975017,0.04950841557564287
1932-04-01,0.25,0.21677992978033678,0.033215864018275865
1932-05-01,0.28,0.2632173026807898,0.016778851348612338
1932-06-01,0.19,0.1897610095290163,0.00023553389157778747
1932-07-01,-0.11,-0.09362768884081507,-0.01637534987778179
1932-08-01,0.09,0.12301200051229144,-0.03301459373913428
1932-09-01,0.02,0.06964051901203466,-0.04964264010417801
1932-10-01,0.02,0.08621807442308754,-0.06621969787575978
1932-11-01,-0.04,0.04270475969824594,-0.0827058612952397
1932-12-01,-0.41,-0.31093932767887444,-0.09906122928476027
1933-01-01,-0.21,-0.09475396634565095,-0.11524602479433836
1933-02-01,-0.08,0.05122130780941625,-0.13122071366994797
1933-03-01,-0.2,-0.05305268043641537,-0.1469461225679173
1933-04-01,0.01,0.17238537086106598,-0.16238355545292238
1933-05-01,-0.4,-0.22250264454953472,-0.17749490823149486
1933-06-01,-0.86,-0.6677541287724584,-0.19224278109012657
1933-07-01,-0.66,-0.4534056701280805,-0.20659058812657974
1933-08-01,-0.94,-0.7194929366119427,-0.2205026638847099
1933-09-01,-0.77,-0.5360505728155707,-0.23394436642677097
1933-10-01,-1.1,-0.8531121006496938,-0.24688217660256714
1933-11-01,-1.06,-0.800709824183656,-0.25928379320169814
1933-12-01,-1.21,-0.9388747388866515,-0.2711182237032502
1934-01-01,-0.93,-0.6476364455274091,-0.2823558703663431
1934-02-01,-0.87,-0.5770230689591935,-0.29296861143466746
1934-03-01,-0.95,-0.6470611819869244,-0.3029298772582508
1934-04-01,-0.42,-0.10777573448298661,-0.31221472116588667
1934-05-01,-0.49,-0.16918998788832207,-0.3207998849516707
1934-06-01,-0.33,-0.0013254552058626912,-0.3286638588686314
1934-07-01,-0.43,-0.09420184656450548,-0.33578693605126886
1934-08-01,-0.33,0.012162979595988943,-0.34215126131668055
1934-09-01,-0.52,-0.17224694030449686,-0.3477408743206325
1934-10-01,-0.26,0.0925543625410708,-0.3525417470702349
1934-11-01,-0.11,0.2465548212367526,-0.35654181581862493
1934-12-01,-0.24,0.11974435952324769,-0.35973100738909064
1935-01-01,-0.32,0.0421149126148231,-0.36210125999626713
1935-02-01,-0.19,0.173660442619389,-0.3636465386502955
1935-03-01,-0.28,0.08437694864378631,-0.3643628452460758
1935-04-01,-0.32,0.04426247170051875,-0.3642482234539136
1935-05-01,-0.54,-0.17668290545576273,-0.36330275853993
1935-06-01,-0.4,-0.038457063423768645,-0.361528572254566
1935-07-01,-0.65,-0.29105585603693873,-0.35892981293538234
1935-08-01,0.06,0.41552687512126146,-0.3555126409761679
1935-09-01,0.08,0.43129928172388726,-0.3512852098181907
1935-10-01,0.28,0.6262714853865408,-0.3462576426213249
1935-11-01,0.28,0.6204555501906451,-0.3404420047728764
1935-12-01,-0.04,0.29386545120008917,-0.33385227239032916
1936-01-01,0.74,1.0665170391242424,-0.3265042969710845
1936-02-01,0.49,0.8084280012758147,-0.3184157663377392
1936-03-01,0.0,0.3096178189662714,-0.30960616202171776
