date,original,interannual,interdecadal
1938-01-01,-0.084,0.1434589620460184,-0.2274589567068223
1938-02-01,-0.217,0.014622688859316696,-0.23162268259531332
1938-03-01,0.009,0.24488950102109433,-0.2358894938355241
1938-04-01,-0.345,-0.10475356270965294,-0.2402464291906673
1938-05-01,0.016,0.2606803391178452,-0.244680330115871
1938-06-01,-0.408,-0.1588221103201888,-0.24917787979183476
1938-07-01,-0.621,-0.36727434665321274,-0.25372564259369057
1938-08-01,-0.15,0.10831011547365943,-0.2583101038810063
1938-09-01,-0.458,-0.19508227760375857,-0.2629177099943517
1938-10-01,-0.611,-0.34346507848043883,-0.26753490834357435
1938-11-01,-0.712,-0.4398517986170267,-0.27214818747288755
1938-12-01,-0.541,-0.26425586841264304,-0.27674411698804857
1939-01-01,-0.125,0.15630940247006297,-0.28130938723127974
1939-02-01,0.209,0.49483086441382507,-0.28583084859015373
1939-03-01,0.021,0.3112955666766023,-0.2902955503274076
1939-04-01,-0.266,0.028690795630225495,-0.29469077881956196
1939-05-01,-0.337,-0.03799588770319694,-0.2990040950932966
1939-06-01,-0.178,0.12522338907306743,-0.30322337154976964
1939-07-01,-0.405,-0.09766315446574733,-0.30733682776846694
1939-08-01,-0.46,-0.1486669167893399,-0.3113330652837427
1939-09-01,-0.285,0.030201119231832642,-0.3152011012289639
1939-10-01,-0.19,0.12893041873518954,-0.3189304007451162
1939-11-01,-0.319,0.0035109259381293292,-0.32251090805287963
1939-12-01,-0.106,0.21993309377497172,-0.32593307608954375
1940-01-01,0.08,0.40918791200270876,-0.32918789461473014
1940-02-01,-0.224,0.1082669336823652,-0.3322669166917297
1940-03-01,-0.477,-0.1418377000541189,-0.3351622834543636
1940-04-01,-0.492,-0.15413323703818815,-0.33786674707265946
1940-05-01,-0.459,-0.11862629298319263,-0.34037369183431165
1940-06-01,-0.028,0.31467716763382864,-0.34267715326288395
1940-07-01,-0.364,-0.019228151347622652,-0.344771835198022
1940-08-01,-0.253,0.09365313720065004,-0.34665312476760046
1940-09-01,-0.39,-0.04168288350544247,-0.3483171051867246
1940-10-01,-0.472,-0.12223942359613739,-0.34976056632386054
1940-11-01,-0.341,0.009981021731434302,-0.350981012980078
1940-12-01,-0.315,0.03697667815766824,-0.351976670833461
1941-01-01,-0.362,-0.009253504191444953,-0.35274649000717273
1941-02-01,-0.619,-0.26570984958732835,-0.35329014622644367
1941-03-01,-0.261,0.09260804201949742,-0.35360803953688896
1941-04-01,-0.277,0.07670129125893824,-0.35370129056403043
1941-05-01,-0.269,0.08457173312972102,-0.3535717343016987
1941-06-01,-0.376,-0.02277809168754224,-0.3532219114250983
1941-07-01,-0.429,-0.07634494798844571,-0.35265505713272344
1941-08-01,-0.419,-0.06712491966116788,-0.35187508752998803
1941-09-01,-0.333,0.017886574260653976,-0.3508865835763624
1941-10-01,-0.189,0.1606947611395055,-0.3496947726269674
1941-11-01,0.274,0.6223054939103446,-0.34830550760894
1941-12-01,-0.182,0.16472522794157027,-0.34672524388241893
1942-01-01,-0.194,0.15096099564012877,-0.34496101384568095
1942-02-01,-0.298,0.04502037887010257,-0.3430203993537493
1942-03-01,-0.25,0.0909114792639462,-0.34091150202966425
1942-04-01,-0.41,-0.07135711348451901,-0.33864291155751036
1942-05-01,-0.599,-0.2627763552463732,-0.33622367205618736
1942-06-01,-0.944,-0.6103367828943046,-0.3336632466427416
1942-07-01,-0.697,-0.36602855143123403,-0.33097148030378326
1942-08-01,-1.1,-0.7718414726828098,-0.32815856120302733
1942-09-01,-0.946,-0.6207650554165035,-0.3252349805622446
1942-10-01,-0.588,-0.26578854674111274,-0.3222114912617969
1942-11-01,-0.598,-0.27890097463206165,-0.3190990653153802
1942-12-01,-0.559,-0.24309119141995986,-0.31590885038150934
1943-01-01,-0.49,-0.17734791807260078,-0.31265212548155624
1943-02-01,-0.248,0.06134021090595626,-0.30934025610070864
1943-03-01,-0.305,0.0009846021413433825,-0.3059846488539661
1943-04-01,-0.225,0.07759665780685226,-0.30259670590415294
1943-05-01,-0.188,0.11118772998431625,-0.29918777932284163
1943-06-01,0.151,0.44676907516169606,-0.29576912558798535
1943-07-01,0.095,0.3873518090630322,-0.2923518604139145
1943-08-01,0.035,0.32394686200718636,-0.28894691411012857
1943-09-01,-0.648,-0.36243506500850897,-0.2855649876649907
1943-10-01,-0.536,-0.2537835433050298,-0.282216509749002
1943-11-01,-0.388,-0.10908845840670098,-0.2789115948298026
1943-12-01,-0.386,-0.11034005062599621,-0.2756600025874244
1944-01-01,-0.154,0.11847104583575364,-0.2724710988136301
1944-02-01,0.247,0.5163537654498462,-0.26935381797344626
1944-03-01,-0.177,0.0893165757552561,-0.2663166276002596
1944-04-01,-0.241,0.022367443750913873,-0.26336749468814885
1944-05-01,0.283,0.5435138044402958,-0.2605138542365172
1944-06-01,-0.114,0.14376253167391553,-0.25776258009262937
1944-07-01,0.053,0.3081199114250761,-0.25511995822741584
1944-08-01,0.051,0.3035916176233136,-0.25259166256895266
1944-09-01,0.001,0.25118269065833054,-0.250182733506442
1944-10-01,-0.6,-0.3521024813448676,-0.24789755916538783
1944-11-01,-0.249,-0.003260178391542551,-0.24573985954206695
1944-12-01,0.179,0.4227126384516482,-0.2437126735724276
1945-01-01,-0.14,0.10181831712181386,-0.2418183491972888
1945-02-01,0.09,0.3300585076697054,-0.240058536472245
1945-03-01,0.205,0.44343415844912065,-0.23843418375708886
1945-04-01,-0.33,-0.09305448459300669,-0.23694553700592175
