Date,Nino3.4,DMI
1971-05-01,-0.71685042183287,-0.27610904259513425
1971-06-01,-0.7218065738360693,-0.18891103447060442
1971-07-01,-0.5731448118972899,-0.24973952403594324
1971-08-01,-0.6104267569607309,-0.4844436673508057
1971-09-01,-0.6626193306399308,-0.3095147298643397
1971-10-01,-0.7550346519151532,-0.414920859733483
1971-11-01,-0.8341347328295008,0.12710539920804342
1971-12-01,-0.8744897124450794,0.15184794537202834
1972-01-01,-0.5046915456406218,0.1048061626270894
1972-02-01,-0.1630556667508749,-0.2853514403801237
1972-03-01,-0.17142456562187647,0.10740832358714081
1972-04-01,0.2578448184202813,0.08057603701978511
1972-05-01,0.4243628481672985,0.22435300576655257
1972-06-01,0.7144901293651635,0.6208455158480557
1972-07-01,0.8992582634290756,0.41335736363567777
1972-08-01,1.3746740240117923,-0.03178279399014561
1972-09-01,1.293418913081105,0.2666006632849971
1972-10-01,1.827119576599511,0.3913069111915437
1972-11-01,1.9385304522740796,0.7681376887670043
1972-12-01,2.263636647975673,0.5477133948209764
1973-01-01,1.6894631228001664,-0.12648651938847089
1973-02-01,1.151698270308529,-0.1333538927398105
1973-03-01,0.6644858616061207,-0.08425673989483307
1973-04-01,-0.025885055042760285,-0.47590217458166617
1973-05-01,-0.4731192594447542,-0.27084744328402244
1973-06-01,-0.8013603183465499,-0.5550593182656922
1973-07-01,-1.0922987488678686,-0.7817107011614277
1973-08-01,-1.1694054492414665,-1.04477508383357
1973-09-01,-1.3206337609497112,-0.9234986368150153
1973-10-01,-1.536153339939137,-0.6008611795823651
1973-11-01,-2.027335427756853,-0.4569414653126008
1973-12-01,-2.116367980564597,-0.33257681728628213
1974-01-01,-1.92512605157264,0.22431709778618447
1974-02-01,-1.4306134596990354,0.24432106136860385
1974-03-01,-1.3348754188898297,0.28276181880908546
1974-04-01,-0.9331472419757532,-0.17758166059325842
1974-05-01,-0.6839644472985462,-0.16438407325374607
1974-06-01,-0.6261761340812306,-0.19013735770100593
1974-07-01,-0.5727179964961806,-0.3742609157725896
1974-08-01,-0.2658724258652647,-0.6804976628162713
1974-09-01,-0.2510267888655946,-0.8968823361256035
1974-10-01,-0.6989930280011727,-0.7143387555650218
1974-11-01,-0.9160466909065015,-0.5301058720254636
1974-12-01,-0.8054047545776584,-0.3754238813549455
1975-01-01,-0.28257181481555804,-0.38430676526822005
1975-02-01,-0.2724845809047416,-0.24331828866603714
1975-03-01,-0.5091343523980676,-0.23034417635503934
1975-04-01,-0.5300480685028077,0.1348602937164748
1975-05-01,-0.9026666354238664,0.2431763415299388
1975-06-01,-1.1991562078390459,0.1067714638068391
1975-07-01,-1.1616248161180742,-0.23739931931104308
1975-08-01,-1.0932782196478286,-0.5091652496417105
1975-09-01,-1.3389242285636485,-0.8637461555526329
1975-10-01,-1.41608876754632,-0.7789817545216291
1975-11-01,-1.4105350527184655,-0.3442728804540506
1975-12-01,-1.5885823436567108,-0.0872157330631657
1976-01-01,-1.7263264337679445,0.005366159980963001
1976-02-01,-0.989551695907732,0.05334455603892793
1976-03-01,-0.584920703144018,0.003106900557501513
1976-04-01,-0.3661370552971164,0.3384374862437801
1976-05-01,-0.3807332221195132,0.26255972103651026
1976-06-01,0.07927734492040983,0.6057491236124644
1976-07-01,0.23492671439363022,0.9178693436589234
1976-08-01,0.37656875069394147,0.3434344058016563
1976-09-01,0.6702143350722132,0.2813464821661462
1976-10-01,0.9152493225888065,0.24856833227714326
1976-11-01,0.9391484531481638,0.1391393203282748
1976-12-01,0.703723036595818,0.2890722238262798
1977-01-01,0.9414556664181681,0.08637910611621612
1977-02-01,0.6274260209969995,0.002255736441840822
1977-03-01,0.4862761035041103,0.38886114327560173
1977-04-01,-0.2132334049729785,0.21299316909776056
1977-05-01,0.0681017018772927,0.03303183994674816
1977-06-01,0.4142769587079371,0.1859850387689821
1977-07-01,0.4834407309663966,0.3709207875623852
1977-08-01,0.2699973751025766,0.5113900191050795
1977-09-01,0.48900884708176307,0.3903186828687666
1977-10-01,0.9262968670878493,0.7618705461383701
1977-11-01,1.0545158457406671,0.2874175281843302
1977-12-01,1.1151777703804946,0.49451822119060523
1978-01-01,0.7952495404643507,-0.5324386163984541
1978-02-01,0.5689980079362797,-0.3569965676769459
1978-03-01,0.14923129819102243,-0.4388922328777054
1978-04-01,-0.3338944911897599,0.16032331821505952
1978-05-01,-0.4031653393379635,-0.18634737068329324
1978-06-01,-0.39293830529029705,-0.17910290332322742
1978-07-01,-0.4290763407468319,-0.6852532025891003
1978-08-01,-0.5775954632516864,-1.0039510055498646
1978-09-01,-0.5133873744872517,-0.6320503884364861
1978-10-01,-0.28730631133723605,-0.3172697324549514
1978-11-01,-0.10683605819060205,-0.3274885204546484
1978-12-01,0.1290626145740319,-0.03181742186761609
1979-01-01,0.12077124935101935,0.3072114324268299
1979-02-01,0.15189180430839855,0.09118601917140454
1979-03-01,0.20845770730101876,0.1667904128680251
1979-04-01,0.23301821130482026,0.08672676729832662
1979-05-01,0.02449257007134875,-0.32939556877660414
1979-06-01,0.1085985226966919,0.242889276927875
1979-07-01,-0.14334505564787747,0.18923772146881945
1979-08-01,0.2660135106561654,0.3084839126752328
1979-09-01,0.5823253468167024,0.12370177244347502
1979-10-01,0.37603160463902086,-0.22207446510255302
1979-11-01,0.40163774923480133,-0.16395450926005617
1979-12-01,0.737250966302696,0.067329476337831
1980-01-01,0.6281785529595503,-0.0005625454366075117
1980-02-01,0.388167124042873,0.05515129489378809
1980-03-01,0.17420027654336323,-0.23163521543223076
1980-04-01,0.24458627723831228,-0.23195324612416368
1980-05-01,0.22961169450383068,-0.14324274175070054
1980-06-01,0.4261812575154309,-0.35450765087382163
1980-07-01,0.07925628622277259,-0.830707774239025
1980-08-01,-0.18718631242260741,-0.696548602599065
1980-09-01,-0.039831705002423945,-0.7477024060761757
1980-10-01,-0.07745381365437609,-0.34462734924748695
1980-11-01,0.13010536138682838,-0.1501957645569808
1980-12-01,0.40503294367431764,-0.18964901135097761
1981-01-01,-0.38266216802458786,-0.020458675202372892
1981-02-01,-0.3949986362005653,0.2739621881472819
1981-03-01,0.062320136575849006,0.20479121948241663
1981-04-01,-0.12219767109828794,0.19095457332084453
1981-05-01,-0.005874868637985031,0.15950192551517992
1981-06-01,-0.0835895658763377,-0.03801221422718837
1981-07-01,-0.3658803870336449,-0.5413421580157285
1981-08-01,-0.13542292461290728,-0.5884251967622831
1981-09-01,0.027849953059554622,-0.40287125076843466
1981-10-01,0.01643446770680157,-0.4114797760225333
1981-11-01,-0.2156701315439271,-0.3142365942823998
1981-12-01,0.12213312268421461,0.04601213171908698
1982-01-01,0.06283407414912645,0.16250609110906644
1982-02-01,-0.048544313275321826,0.2524589169097188
1982-03-01,0.07605926190272427,0.1221337117262602
1982-04-01,0.3004037513757254,0.15247509927999647
1982-05-01,0.7560621739691378,0.37317864258598044
1982-06-01,0.9854799909401208,0.2783632848849915
1982-07-01,0.6934696587660021,0.365449403692635
1982-08-01,0.9757600396463282,0.440809101772637
1982-09-01,1.4870460545068909,0.5178153819323121
1982-10-01,2.060036522906941,0.6326450020996628
1982-11-01,2.1406896611325372,0.4174785684820913
1982-12-01,2.4240623603899287,-0.14193333309370132
1983-01-01,2.552746656577579,-0.15190437062367856
1983-02-01,2.3190775928928957,-0.381620580034406
1983-03-01,1.809570727062745,-0.6926285821843974
1983-04-01,1.2035125598191918,-0.5893438426987033
1983-05-01,1.2519717834233042,-0.09736733290334579
1983-06-01,0.7041941090269042,0.22823318690509242
1983-07-01,-0.034348807580414586,0.5221177010313964
1983-08-01,-0.06827596149904025,0.5013632160740655
1983-09-01,-0.4016237026975169,0.21795720141441777
1983-10-01,-0.9810173301781191,-0.02176078600030884
1983-11-01,-1.0901594563554866,-0.1805477271333208
1983-12-01,-0.8976380590570194,0.1666866260675009
1984-01-01,-0.7033182489182188,0.09812811315594493
1984-02-01,-0.452683443523366,0.019952823807914383
1984-03-01,-0.36919781273917707,0.10443753625192209
1984-04-01,-0.5303336296980561,0.20067930883007168
1984-05-01,-0.5352591097090276,-0.07291106653443416
1984-06-01,-0.8473461082430411,0.06486655892806215
1984-07-01,-0.3550151531533423,-0.21536834813428896
1984-08-01,-0.3658148789442066,-0.4113010551520049
1984-09-01,-0.27531947863408845,-0.5150827299621632
1984-10-01,-0.7992906845539274,-0.3534262765115894
1984-11-01,-1.1418411136328537,-0.25526000356067635
1984-12-01,-1.4906824241201129,-0.12384317924251802
1985-01-01,-0.8098703047505644,-0.22625634345013446
1985-02-01,-0.8482792738268721,-0.4629178274945235
1985-03-01,-0.8667483589923357,-0.33891281059891276
1985-04-01,-0.9262064519870883,-0.1992912781917867
1985-05-01,-0.7958729158652176,-0.11971053983071636
1985-06-01,-0.69752596530709,-0.4125552646889272
1985-07-01,-0.5572404516605474,-0.2439281231450161
1985-08-01,-0.4646356352497598,-0.4235732397356984
1985-09-01,-0.4935446205559906,-0.16977679251527533
