,PC1,PC2
1964-01-16 11:59:00,6297.419096323223,-741.3803056206918
1964-02-16 11:59:00,5779.067809756256,-53.72156948188363
1964-03-16 11:59:00,5565.9816063613325,-141.41774073131555
1964-04-16 11:59:00,5251.729417782421,-556.8620671612528
1964-05-16 11:59:00,4498.669581903584,-1253.779156271994
1964-06-16 11:59:00,4056.1902580837886,-2720.1782496718874
1964-07-16 11:59:00,-1523.0379513365847,-5599.447469456777
1964-08-16 11:59:00,-684.399111694672,-5067.12988773858
1964-09-16 11:59:00,-655.4098213498407,-4437.5402766337
1964-10-16 11:59:00,238.34605916280208,-3495.0243652059225
1964-11-16 11:59:00,1252.8696617667042,-1680.068239913674
1964-12-16 11:59:00,4905.03122765062,-827.6199001455869
1965-01-16 11:59:00,6094.3205073411345,-669.9827573224871
1965-02-16 11:59:00,6095.992678658332,-118.3230783132037
1965-03-16 11:59:00,6015.777950655804,-238.0176576208796
1965-04-16 11:59:00,5785.048930324292,-739.7221098625073
1965-05-16 11:59:00,5240.02234207787,-1404.3309239658756
1965-06-16 11:59:00,4347.440635415475,-2865.7348870694846
1965-07-16 11:59:00,-1720.6037729224383,-5751.791901081892
1965-08-16 11:59:00,-591.8511582901874,-5011.4828360308775
1965-09-16 11:59:00,-1037.0234837433152,-4675.67255049771
1965-10-16 11:59:00,-1256.0162897769846,-4263.235722536793
1965-11-16 11:59:00,1514.0805259442109,-1953.5216955704407
1965-12-16 11:59:00,4883.001596805166,-1137.3110440702278
1966-01-16 11:59:00,6683.145848811223,-797.1474627113041
1966-02-16 11:59:00,6369.627784455468,-141.8909317702503
1966-03-16 11:59:00,6203.751875729127,-251.07649353822882
1966-04-16 11:59:00,6242.660813982491,-790.9353673188497
1966-05-16 11:59:00,5296.086109516488,-1373.3606548913253
1966-06-16 11:59:00,4125.652552731306,-2677.081770032405
1966-07-16 11:59:00,-2120.98254948232,-5810.5088276094775
1966-08-16 11:59:00,-810.6384432571955,-5108.122061760463
1966-09-16 11:59:00,-900.0117823430741,-4653.2683719118995
1966-10-16 11:59:00,-155.883460132447,-3790.5497526462477
1966-11-16 11:59:00,1825.3205787729169,-1981.1666830534082
1966-12-16 11:59:00,5180.242140536525,-1103.9861420263771
1967-01-16 11:59:00,6904.536335898545,-836.5956771349743
1967-02-16 11:59:00,6418.409926573971,-190.13417338665036
1967-03-16 11:59:00,5807.017517531249,-180.36628286731107
1967-04-16 11:59:00,5290.12797131584,-547.0244982844712
1967-05-16 11:59:00,4555.944382645253,-1231.8477289831078
1967-06-16 11:59:00,3844.638842503432,-2433.755892917336
1967-07-16 11:59:00,-1434.6072526088496,-5542.879587090298
1967-08-16 11:59:00,-865.2029675698794,-5033.2441100918995
1967-09-16 11:59:00,-991.654070805737,-4625.635956934128
1967-10-16 11:59:00,-859.4066545590048,-4301.838755490039
1967-11-16 11:59:00,1647.0970266484283,-2020.2255021138546
1967-12-16 11:59:00,5564.995304331606,-1144.1238279360978
1968-01-16 11:59:00,6862.679383587887,-850.9308286784849
1968-02-16 11:59:00,6299.169904585049,-169.64867741868665
1968-03-16 11:59:00,6051.086185491342,-222.468084133726
1968-04-16 11:59:00,5883.806454952963,-636.2514779075997
1968-05-16 11:59:00,5000.618166090995,-1155.1950380709625
1968-06-16 11:59:00,4807.22651403301,-2166.6311352731095
1968-07-16 11:59:00,739.1941232433754,-4624.637126342837
1968-08-16 11:59:00,1187.003099567602,-4315.326077484219
1968-09-16 11:59:00,-323.73865113960284,-4293.576500134325
1968-10-16 11:59:00,646.9846319046108,-3560.66997738551
1968-11-16 11:59:00,2349.758250011478,-2120.887473122741
1968-12-16 11:59:00,5872.81225313313,-1093.490368449299
1969-01-16 11:59:00,6912.864441752978,-851.6481624607685
1969-02-16 11:59:00,6497.775414380316,-185.41916796212513
1969-03-16 11:59:00,6032.133212023418,-7.297735305971779
1969-04-16 11:59:00,5921.672844649665,-486.94611835723833
1969-05-16 11:59:00,4996.71431569708,-1105.0153455469533
1969-06-16 11:59:00,4391.109799279416,-2425.359368857446
1969-07-16 11:59:00,-117.14591287918253,-4773.832591568006
1969-08-16 11:59:00,391.8209596447628,-4372.575436078138
1969-09-16 11:59:00,-9.218684282912383,-4218.302958072115
1969-10-16 11:59:00,265.7642083106425,-3582.280383457081
1969-11-16 11:59:00,1460.5757339267243,-1894.7875050195055
1969-12-16 11:59:00,5486.666139131851,-960.008916471182
1970-01-16 11:59:00,6764.16318163029,-843.2406128317118
1970-02-16 11:59:00,5823.185930998996,-66.28065345235818
1970-03-16 11:59:00,5458.393252905385,-2.6198985485470456
1970-04-16 11:59:00,5332.742110648348,-418.2841279601938
1970-05-16 11:59:00,4681.89321336178,-1032.63493363809
1970-06-16 11:59:00,3954.3483154626833,-2423.5281883471366
1970-07-16 11:59:00,-381.1009095871719,-4973.013707992061
1970-08-16 11:59:00,350.6427959707403,-4556.340734593435
1970-09-16 11:59:00,-714.8913761046011,-4485.588036896992
1970-10-16 11:59:00,-717.33965837748,-4175.312325785508
1970-11-16 11:59:00,1561.8730446181974,-1911.615405594493
1970-12-16 11:59:00,5118.950242390319,-1210.63011330465
1971-01-16 11:59:00,6576.737853852513,-795.2299821777024
1971-02-16 11:59:00,5423.961588994446,55.99804644925875
1971-03-16 11:59:00,5263.176896198212,52.25209015976912
1971-04-16 11:59:00,5424.736528421261,-493.49563380070765
1971-05-16 11:59:00,4108.720352713883,-1037.8319588493516
1971-06-16 11:59:00,3960.5864919562896,-2190.9297353944794
1971-07-16 11:59:00,-658.5116123314846,-4940.9849688069535
1971-08-16 11:59:00,383.27515915185745,-4115.824834668788
1971-09-16 11:59:00,-429.5405229647398,-4243.413315362145
1971-10-16 11:59:00,940.3844572830692,-3267.326065989099
1971-11-16 11:59:00,1531.4308689071875,-1897.9330511765704
1971-12-16 11:59:00,5740.1621608973965,-1099.2226309286546
1972-01-16 11:59:00,6909.6989509575305,-769.0818318766974
1972-02-16 11:59:00,6303.958579966258,-160.70023321110898
1972-03-16 11:59:00,5659.190765149543,-160.27295570305316
1972-04-16 11:59:00,5119.017730368456,-571.5502490444919
1972-05-16 11:59:00,4474.862976769275,-1097.5741045314312
1972-06-16 11:59:00,3819.15358350407,-2227.0143793602174
1972-07-16 11:59:00,-1283.8023448811641,-5081.812161799114
1972-08-16 11:59:00,963.265656523023,-3546.209649702269
1972-09-16 11:59:00,-274.8924064260023,-3999.2612827919443
1972-10-16 11:59:00,297.2909388624273,-2853.212600994092
