,Nino3.4,Nino3.4 Highpass (<8 years),Nino3.4 Lowpass (>8 years),DMI,DMI Highpass (<8 years),DMI Lowpass (>8 years)
1998-04-15,0.9,1.5755561663760835,-0.12626603430216196,0.047,0.4401588000208273,-0.18110607787497207
1998-05-15,0.68,1.3631840232938899,-0.12618599396128402,0.14,0.5357427393565696,-0.1810885397430283
1998-06-15,-0.39,0.3007948763934053,-0.12610689478673004,0.147,0.5453164895706252,-0.18107121013281222
1998-07-15,-0.73,-0.031611957217038245,-0.1260287297507377,-0.385,0.015879768076105305,-0.18105408740482457
1998-08-15,-0.83,-0.12403716533510989,-0.12595149183439394,-0.58,-0.17656770969844693,-0.18103716992390628
1998-09-15,-0.82,-0.10648144068025256,-0.12587517402804693,-0.496,-0.09002623031562218,-0.18102045605929368
1998-10-15,-1.19,-0.4689454809094633,-0.1257997693317154,-0.743,-0.3344960823357116,-0.18100394418467358
1998-11-15,-1.23,-0.5014299886330824,-0.12572527075549542,-0.653,-0.24197755632327778,-0.1809876326782379
1998-12-15,-1.51,-0.7739356714305949,-0.12565167131996408,-0.336,0.07752905514626979,-0.18097151992273788
1999-01-15,-1.53,-0.7864632418664332,-0.12557896405658095,-0.13,0.28602345748009605,-0.18095560430553814
1999-02-15,-1.41,-0.6590134175057925,-0.12550714200808666,-0.038,0.3805053540613584,-0.18093988421867008
1999-03-15,-0.92,-0.16158692093045324,-0.12543619822889876,0.102,0.5229744462426213,-0.18092435805888518
1999-04-15,-0.81,-0.04418447975460993,-0.12536612578550468,-0.002,0.421430433339267,-0.1809090242277078
1999-05-15,-0.87,-0.09680682664070661,-0.1252969177568521,-0.186,0.23987301262290345,-0.18089388113148777
1999-06-15,-0.95,-0.16945469931528268,-0.12522856723473683,-0.145,0.283301879314768,-0.1808789271814528
1999-07-15,-0.84,-0.05212884058482581,-0.1251610673241877,0.112,0.5427167265791266,-0.18086416079376016
1999-08-15,-0.98,-0.18482999835163638,-0.12509441114384862,0.023,0.45611724551667077,-0.18084958038954835
1999-09-15,-0.84,-0.037558925629694095,-0.12502859182635787,-0.05,0.38550312515791124,-0.180835184394988
1999-10-15,-1.03,-0.22031638056053537,-0.12496360251872438,-0.19,0.24787405245656802,-0.18082097124133248
1999-11-15,-1.41,-0.5931031264291375,-0.12489943638270144,-0.116,0.3242297122829572,-0.18080693936496814
1999-12-15,-1.54,-0.7159199316798135,-0.12483608659515727,-0.148,0.2945697874173738,-0.18079308720746418
2000-01-15,-1.79,-0.9587675699321081,-0.12477354634844262,-0.125,0.31989395854347147,-0.1807794132156222
2000-02-15,-1.53,-0.6916468199967045,-0.12471180885075563,-0.009,0.4382019042416401,-0.18076591584152552
2000-03-15,-1.26,-0.41455846589134204,-0.12465086732650339,0.14,0.5894933009823782,-0.1807525935425879
2000-04-15,-0.8,0.05249670314326438,-0.12459071501666082,0.141,0.592767823119664,-0.18073944478160184
2000-05-15,-0.8,0.059517892627494184,-0.12453134517912652,0.113,0.5670251428843232,-0.18072646802678632
2000-06-15,-0.75,0.11650430282688706,-0.12447275108907564,-0.022,0.43426493037739167,-0.18071366175183445
2000-07-15,-0.57,0.30345512873619984,-0.12441492603930983,0.077,0.5354868535634777,-0.1807010244359602
2000-08-15,-0.36,0.5203695600634585,-0.12435786334060396,0.131,0.5916905782641191,-0.18068855456394486
2000-09-15,-0.39,0.49724678121400284,-0.12430155632204992,-0.096,0.36687576815113887,-0.18067625062618328
2000-10-15,-0.55,0.34408597127452484,-0.12424599833139738,-0.142,0.32304208473999657,-0.1806641111187294
2000-11-15,-0.75,0.15088630399709863,-0.12419118273539147,-0.306,0.16118918738313587,-0.18065213454334128
2000-12-15,-0.92,-0.012353052216795168,-0.12413710292010736,-0.248,0.22131673326333148,-0.18064031940752606
2001-01-15,-0.88,0.03436706566774833,-0.12408375229128157,-0.431,0.040424377387032195,-0.18062866422458457
2001-02-15,-0.63,0.2910458153030687,-0.1240311242746401,-0.017,0.4565117725777018,-0.18061716751365506
2001-03-15,-0.48,0.44768234894294584,-0.12397921231622361,-0.01,0.4655785694691538,-0.18060582779975667
2001-04-15,-0.3,0.6342758134265987,-0.12392800988270956,0.136,0.6136244164988873,-0.18059464361383268
2001-05-15,-0.3,0.6408253501626766,-0.12387751046173086,0.137,0.6166489599014163,-0.18058361349279334
2001-06-15,-0.11,0.8373300951132459,-0.12382770756219147,0.127,0.6086518437015981,-0.18057273597955847
2001-07-15,0.01,0.9637891787777679,-0.123778594714579,-0.14,0.3436327097079588,-0.18056200962309948
2001-08-15,-0.07,0.8902017261770723,-0.12373016547127404,-0.301,0.18459119750601702,-0.1805514329784809
2001-09-15,-0.28,0.6865668568373264,-0.12368241340685619,-0.223,0.2645269444516032,-0.18054100460690156
2001-10-15,-0.26,0.7128836847739966,-0.12363533211840651,-0.451,0.03843958566417727,-0.1805307230757355
