Date,ENSO,ENSO_filtered,IOD,IOD_filtered,PDO,PDO_filtered,IPO,IPO_filtered
1936-10-01,0.38,-0.023553719008264466,-0.691,-0.28171900826446283,2.043,0.5195785123966942,0.608,0.19614876033057851
1936-11-01,-0.03,-0.012066115702479344,-0.063,-0.2745206611570248,2.589,0.530297520661157,0.402,0.20279338842975206
1936-12-01,0.63,0.0006611570247933835,-0.318,-0.2745041322314049,1.343,0.5486528925619835,0.949,0.21259504132231408
1937-01-01,-0.3,0.00801652892561983,-0.113,-0.26939669421487605,0.156,0.5726198347107438,0.131,0.21959504132231406
1937-02-01,0.3,0.01586776859504132,-0.231,-0.2683388429752066,-0.187,0.5951652892561983,0.523,0.22364462809917354
1937-03-01,0.25,0.019504132231404955,-0.256,-0.2656115702479339,-0.014,0.6152396694214876,0.518,0.22565289256198348
1937-04-01,0.21,0.022148760330578506,-0.402,-0.2653801652892562,-0.403,0.6285289256198348,0.239,0.2252809917355372
1937-05-01,-0.43,0.019256198347107432,0.042,-0.26929752066115703,-0.019,0.631198347107438,-0.249,0.22017355371900826
1937-06-01,-0.3,0.012644628099173546,-0.297,-0.2739752066115702,1.383,0.6394876033057851,0.141,0.21401652892561984
1937-07-01,0.09,0.006528925619834706,-0.546,-0.27646280991735533,0.137,0.647909090909091,0.258,0.20649586776859505
1937-08-01,-0.2,-0.0004958677685950463,-0.252,-0.2835289256198347,-0.254,0.6561404958677686,-0.303,0.1985537190082645
1937-09-01,0.17,-0.010909090909090913,-0.091,-0.28730578512396693,0.239,0.6606859504132231,0.205,0.18759504132231405
1937-10-01,-0.1,-0.02198347107438017,-0.304,-0.2888347107438016,0.59,0.6707024793388429,-0.071,0.17885123966942149
1937-11-01,0.21,-0.03454545454545455,-0.115,-0.2877520661157025,0.868,0.6706363636363637,0.28,0.16904132231404959
1937-12-01,0.22,-0.04446280991735538,-0.138,-0.28977685950413223,0.809,0.6669173553719008,0.151,0.15997520661157028
1938-01-01,-0.21,-0.05099173553719008,-0.084,-0.29355371900826444,1.14,0.656487603305785,-0.301,0.1522314049586777
1938-02-01,0.23,-0.05900826446280992,-0.217,-0.2940413223140496,0.063,0.6572809917355372,-0.234,0.14681818181818182
1938-03-01,-0.06,-0.06743801652892562,0.009,-0.295801652892562,-0.397,0.6669752066115703,-0.326,0.14224793388429752
1938-04-01,0.09,-0.07074380165289257,-0.345,-0.29798347107438017,-0.081,0.6853057851239669,-0.45,0.14031404958677687
1938-05-01,-0.33,-0.07380165289256198,0.016,-0.30100826446280987,-0.488,0.6973636363636364,-0.667,0.13787603305785123
1938-06-01,-0.88,-0.07140495867768595,-0.408,-0.2969173553719009,-0.439,0.7086446280991736,-0.9,0.13857024793388428
1938-07-01,-0.98,-0.06504132231404959,-0.621,-0.29359504132231407,-0.23,0.7247190082644627,-1.027,0.1423223140495868
1938-08-01,-0.81,-0.05917355371900827,-0.15,-0.2894297520661157,-0.187,0.735198347107438,-0.968,0.14574380165289258
1938-09-01,-0.28,-0.053388429752066126,-0.458,-0.28957024793388425,0.066,0.7442231404958678,-0.372,0.1498099173553719
1938-10-01,-0.75,-0.050661157024793395,-0.611,-0.2810495867768595,0.819,0.7534958677685949,-0.598,0.1546694214876033
1938-11-01,-0.72,-0.04570247933884298,-0.712,-0.27611570247933886,0.007,0.763595041322314,-0.524,0.15829752066115704
1938-12-01,-0.79,-0.04041322314049587,-0.541,-0.27431404958677685,0.683,0.7798842975206611,-0.54,0.15825619834710744
1939-01-01,-0.67,-0.03388429752066116,-0.125,-0.2716859504132232,0.578,0.7964214876033057,-0.166,0.16148760330578515
1939-02-01,-0.95,-0.02487603305785124,0.209,-0.2645950413223141,-0.25,0.8032314049586777,-0.58,0.16319834710743802
1939-03-01,-0.85,-0.01942148760330579,0.021,-0.2639834710743802,-0.647,0.8013884297520661,-0.654,0.16249586776859504
1939-04-01,-0.27,-0.01066115702479339,-0.266,-0.264603305785124,-0.007,0.7930909090909091,-0.065,0.16311570247933885
1939-05-01,-0.25,-0.006033057851239673,-0.337,-0.2611570247933884,0.176,0.7745371900826445,0.051,0.15758677685950415
1939-06-01,0.05,-0.0016528925619834736,-0.178,-0.26044628099173556,0.075,0.7548512396694215,0.249,0.15645454545454546
1939-07-01,0.25,0.001735537190082642,-0.405,-0.25987603305785123,-0.683,0.7467355371900827,0.263,0.15714049586776863
1939-08-01,0.06,0.005289256198347105,-0.46,-0.2567685950413223,-0.59,0.7412561983471075,0.057,0.15815702479338845
1939-09-01,0.43,0.005454545454545452,-0.285,-0.2566611570247934,-0.9,0.7223553719008264,0.233,0.15623966942148762
1939-10-01,-0.47,0.00793388429752066,-0.19,-0.2575123966942149,-0.998,0.7060495867768594,-0.533,0.15234710743801655
1939-11-01,0.32,0.007190082644628097,-0.319,-0.2569090909090909,-0.729,0.6884380165289257,0.306,0.1477107438016529
1939-12-01,0.05,0.005950413223140494,-0.106,-0.2541487603305785,1.16,0.6736611570247935,0.477,0.14002479338842977
1940-01-01,1.18,0.004958677685950411,0.08,-0.25399173553719007,1.661,0.6649421487603305,1.344,0.1337190082644628
1940-02-01,1.38,0.0037190082644628078,-0.224,-0.25330578512396695,1.411,0.6612892561983471,1.556,0.1320413223140496
1940-03-01,1.19,-0.0012396694214876053,-0.477,-0.2511570247933884,1.794,0.6626611570247934,1.363,0.12576859504132232
1940-04-01,0.8,-0.0052066115702479356,-0.492,-0.2548677685950413,2.133,0.6645289256198347,0.993,0.12038842975206612
1940-05-01,0.34,-0.006363636363636366,-0.459,-0.2578099173553719,1.983,0.6620247933884297,0.711,0.11811570247933884
1940-06-01,0.55,-0.006776859504132233,-0.028,-0.2629834710743802,2.301,0.6586528925619833,0.984,0.11488429752066116
1940-07-01,0.21,-0.008512396694214878,-0.364,-0.26806611570247935,2.083,0.6554462809917355,0.291,0.11161983471074381
1940-08-01,0.75,-0.010082644628099175,-0.253,-0.2739173553719008,1.711,0.6528925619834711,0.845,0.11056198347107439
1940-09-01,0.05,-0.017355371900826446,-0.39,-0.2786280991735537,1.543,0.650396694214876,0.4,0.10400826446280992
1940-10-01,0.32,-0.02512396694214876,-0.472,-0.28082644628099174,1.442,0.6465619834710743,0.759,0.09634710743801654
1940-11-01,0.7,-0.030909090909090907,-0.341,-0.2809917355371901,1.717,0.6335785123966942,1.039,0.08972727272727274
1940-12-01,1.39,-0.03768595041322314,-0.315,-0.2846859504132231,2.425,0.6172644628099173,1.588,0.07906611570247936
1941-01-01,1.38,-0.040991735537190085,-0.362,-0.284305785123967,2.584,0.598793388429752,1.564,0.0706694214876033
1941-02-01,1.34,-0.049090909090909095,-0.619,-0.2851322314049587,2.77,0.5885371900826446,1.579,0.060471074380165295
1941-03-01,1.41,-0.05611570247933884,-0.261,-0.28378512396694217,2.392,0.5826528925619835,1.671,0.05194214876033058
1941-04-01,1.36,-0.060082644628099174,-0.277,-0.2866446280991735,2.417,0.5803305785123967,1.582,0.045925619834710746
1941-05-01,1.32,-0.06570247933884298,-0.269,-0.28361983471074376,2.232,0.5696611570247933,1.53,0.036049586776859516
1941-06-01,0.88,-0.06388429752066116,-0.376,-0.28476033057851236,2.931,0.5537355371900826,1.07,0.029842975206611576
1941-07-01,0.73,-0.060743801652892566,-0.429,-0.28660330578512394,2.971,0.5398429752066115,1.121,0.027214876033057857
1941-08-01,0.79,-0.06223140495867769,-0.419,-0.2846363636363636,3.202,0.5206528925619834,1.338,0.024214876033057855
1941-09-01,0.68,-0.061157024793388436,-0.333,-0.28161157024793393,2.238,0.5062809917355372,1.092,0.025851239669421492
1941-10-01,0.99,-0.06041322314049587,-0.189,-0.279396694214876,1.456,0.49136363636363634,1.07,0.02345454545454546
1941-11-01,1.17,-0.06504132231404959,0.274,-0.273900826446281,1.641,0.4642561983471074,1.086,0.01933884297520662
1941-12-01,1.27,-0.06454545454545454,-0.182,-0.2754462809917355,2.098,0.43105785123966944,1.232,0.018975206611570254
1942-01-01,0.61,-0.06652892561983471,-0.194,-0.275198347107438,2.144,0.4201487603305785,0.838,0.01480165289256199
1942-02-01,0.53,-0.06512396694214875,-0.298,-0.2740247933884298,1.718,0.4226694214876032,0.445,0.015727272727272732
1942-03-01,0.25,-0.0652892561983471,-0.25,-0.27211570247933886,1.176,0.43004132231404957,0.41,0.01767768595041323
1942-04-01,0.57,-0.06793388429752066,-0.41,-0.27153719008264465,1.181,0.43399173553719006,0.456,0.013743801652892568
1942-05-01,-0.1,-0.07421487603305786,-0.599,-0.2673553719008265,0.832,0.4372809917355372,-0.056,0.009702479338842981
1942-06-01,-0.52,-0.07008264462809916,-0.944,-0.2682479338842975,1.023,0.445297520661157,-0.361,0.01666942148760331
1942-07-01,-0.55,-0.07082644628099173,-0.697,-0.2710247933884298,0.832,0.43995041322314044,-0.468,0.015314049586776865
1942-08-01,-0.96,-0.07462809917355373,-1.1,-0.2719586776859504,0.87,0.4454297520661157,-0.75,0.011338842975206617
1942-09-01,-1.17,-0.08165289256198346,-0.946,-0.27789256198347106,0.509,0.4522809917355371,-0.879,0.01151239669421488
1942-10-01,-1.32,-0.08983471074380166,-0.588,-0.2839504132231405,0.452,0.462,-0.963,0.007636363636363642
1942-11-01,-1.5,-0.09504132231404959,-0.598,-0.28407438016528924,-0.063,0.46268595041322313,-0.967,0.004157024793388434
1942-12-01,-1.24,-0.09528925619834712,-0.559,-0.2853140495867768,-0.877,0.4568264462809917,-0.933,0.0050826446280991784
1943-01-01,-1.2,-0.09669421487603305,-0.49,-0.28663636363636363,-1.402,0.45110743801652897,-0.897,0.006214876033057855
1943-02-01,-1.18,-0.091900826446281,-0.248,-0.28722314049586783,-0.746,0.43978512396694214,-0.684,0.010462809917355376
1943-03-01,-1.1,-0.08859504132231405,-0.305,-0.2852314049586777,0.156,0.43195867768595037,-0.64,0.01476859504132232
1943-04-01,-0.6,-0.08603305785123967,-0.225,-0.28615702479338845,1.102,0.42918181818181816,-0.35,0.017305785123966945
1943-05-01,-0.36,-0.08421487603305784,-0.188,-0.28400826446280986,0.576,0.41912396694214876,-0.307,0.021280991735537196
1943-06-01,-0.11,-0.0809917355371901,0.151,-0.2836528925619835,-0.169,0.42291735537190084,-0.26,0.02749586776859505
1943-07-01,-0.09,-0.07421487603305786,0.095,-0.28249586776859503,-0.077,0.4266446280991736,-0.283,0.03467768595041323
1943-08-01,0.05,-0.06628099173553718,0.035,-0.2811818181818182,-1.249,0.4242809917355371,-0.413,0.040066115702479345
1943-09-01,-0.24,-0.059752066115702475,-0.648,-0.28529752066115704,-1.046,0.41947933884297517,-0.447,0.04501652892561984
1943-10-01,-0.44,-0.06305785123966942,-0.536,-0.28392561983471076,-1.181,0.4074380165289256,-0.26,0.04247107438016529
1943-11-01,-0.5,-0.05933884297520661,-0.388,-0.2820082644628099,-0.264,0.3945206611570248,-0.516,0.046363636363636364
